family_id,parent_nickname,child_grade,coach_name,message_time,speaker,content,source,checkin_status
FAM001,林妈妈,初一,怡彤老师,2026-06-22 19:30,林妈妈,老师孩子这两天作业启动很慢，写到很晚会有点崩。,样例导入,
FAM001,林妈妈,初一,怡彤老师,2026-06-22 19:42,怡彤老师,收到，我先帮您把任务拆小，今晚先保住英语阅读和数学订正两个核心动作。,样例导入,
FAM001,林妈妈,初一,怡彤老师,2026-06-23 20:10,林妈妈,刚刚完成了数学订正，但是英语没来得及。,样例导入,完成打卡
FAM002,周爸爸,五年级,怡彤老师,2026-06-22 18:20,周爸爸,孩子今天PBL小作品已经发群里了，想请你帮忙看看。,样例导入,
FAM002,周爸爸,五年级,怡彤老师,2026-06-22 18:35,怡彤老师,收到，我会重点看表达结构和例子是否具体。,样例导入,
FAM002,周爸爸,五年级,怡彤老师,2026-06-24 20:00,周爸爸,这周打卡基本完成了，周三漏了一次想补打卡。,样例导入,补打卡
FAM003,陈妈妈,高一,怡彤老师,2026-06-23 21:05,陈妈妈,最近孩子情绪波动比较大，我问学习他就不耐烦。,样例导入,
FAM003,陈妈妈,高一,怡彤老师,2026-06-23 21:15,怡彤老师,先别急着追问结果，我们先用更低压力的复盘方式。,样例导入,
FAM003,陈妈妈,高一,怡彤老师,2026-06-24 19:50,陈妈妈,那今天要不要继续打卡？他现在有点烦。,样例导入,
FAM004,吴妈妈,三年级,怡彤老师,2026-06-24 17:40,吴妈妈,今天孩子请假，上不了课，晚点我再看回放。,样例导入,请假
FAM004,吴妈妈,三年级,怡彤老师,2026-06-24 17:45,怡彤老师,收到，今天先以孩子状态为主，我会帮您把本次内容衔接上。,样例导入,
FAM004,吴妈妈,三年级,怡彤老师,2026-06-25 19:20,吴妈妈,资料链接可以再发一下吗？我这边没找到。,样例导入,
FAM005,赵爸爸,初二,怡彤老师,2026-06-25 20:05,赵爸爸,最近感觉课程没效果，孩子成绩还是有波动。,样例导入,
FAM005,赵爸爸,初二,怡彤老师,2026-06-25 20:18,怡彤老师,您的反馈我收到，我先整理孩子这两周的完成情况，再给您一个明确调整方案。,样例导入,
FAM005,赵爸爸,初二,怡彤老师,2026-06-26 19:30,赵爸爸,如果后面还是这样，我可能要考虑退费。,样例导入,
